occupation_id,total_unemployed_2019,less_than_five_wks_2019,five_to_forteen_wks_2019,total_fifteen_wks_and_over_2019,fifteen_to_twenty_six_wks_2019,twenty_seven_wks_and_over_2019,avg_duration_wks_2019,median_duration_wks_2019
occ_1,6001,2086,1789,2126,860,1266,21.6,9.1
occ_2,591,196,182,214,81,132,24.8,9.4
occ_3,1310,436,388,487,181,306,22.6,9.5
occ_4,1255,465,364,426,181,245,20,8.6
occ_5,1274,422,375,476,193,283,22.6,9.9
occ_6,703,266,216,221,100,121,17.8,8.2
occ_7,847,296,259,292,121,171,21.5,8.9
occ_8,133,45,45,43,22,21,16.1,8.7
occ_9,25,11,7,7,3,4,–,–
occ_10,442,174,138,131,54,76,17.3,7.8
occ_11,476,158,147,171,73,99,20.9,9.6
occ_12,813,263,251,299,120,178,22.4,9.7
occ_13,271,95,69,108,39,69,26.2,9.6
occ_14,93,26,27,40,15,25,27.8,11.2
occ_15,222,61,67,93,35,58,25.1,11.8
occ_16,671,215,195,260,107,153,21.2,10.1
occ_17,850,311,279,259,107,152,19.2,8.1
occ_18,773,303,223,248,111,137,18.7,8
occ_19,218,78,54,86,33,53,24,9.7
occ_20,138,39,37,62,26,36,27.6,12.2
