"HOUSEHOLD DATA
ANNUAL AVERAGES
11.  Employed persons by detailed occupation, sex, race, and Hispanic or Latino ethnicity",,,,,,
[Numbers in thousands],,,,,,
,,,,,,
Occupation,2020,,,,,
,"Total
employed",Percent of total employed,,,,
,,Women,White,"Black or
African
American",Asian,"Hispanic
or Latino"
,,,,,,
"Total, 16 years and over","147,795",46.8,78.0,12.1,6.4,17.6
,,,,,,
"Management, professional, and related occupations","63,644",51.7,78.7,9.7,8.6,10.4
"Management, business, and financial operations occupations","27,143",44.6,81.7,8.8,6.7,10.9
Management occupations,"18,564",40.4,83.4,8.0,5.8,10.7
Chief executives,"1,669",29.3,88.0,4.3,5.4,7.4
General and operations managers,"1,057",30.5,84.4,7.1,4.5,12.4
Legislators,25,–,–,–,–,–
Advertising and promotions managers,56,52.1,80.5,14.7,3.9,3.5
Marketing managers,554,60.7,84.1,5.5,7.6,9.9
Sales managers,521,30.9,87.6,5.8,4.2,7.6
Public relations and fundraising managers,95,66.4,91.0,4.3,2.3,7.6
Administrative services managers,65,71.7,83.4,9.5,6.5,16.9
Facilities managers,134,25.0,90.1,4.9,2.4,12.6
Computer and information systems managers,744,26.6,75.5,7.0,15.5,5.2
Financial managers,"1,309",52.6,79.4,9.7,8.2,9.9
Compensation and benefits managers,18,–,–,–,–,–
Human resources managers,287,76.8,81.0,12.0,4.9,14.0
Training and development managers,52,55.8,85.4,9.2,0.2,10.1
Industrial production managers,272,22.6,84.3,5.9,7.2,13.5
Purchasing managers,212,45.8,83.2,12.1,3.1,7.3
"Transportation, storage, and distribution managers",300,21.3,79.3,10.7,6.1,17.2
"Farmers, ranchers, and other agricultural managers",901,25.1,96.3,0.7,0.8,4.3
Construction managers,966,8.4,91.4,3.3,2.9,14.5
Education and childcare administrators,948,66.5,79.5,14.3,3.3,12.0
Architectural and engineering managers,171,9.5,84.2,3.4,9.5,4.7
Food service managers,"1,092",46.6,77.7,9.8,9.4,19.8
Funeral home managers,10,–,–,–,–,–
Entertainment and recreation managers,40,–,–,–,–,–
Lodging managers,123,56.0,74.8,12.4,10.4,11.2
Medical and health services managers,711,70.3,77.6,13.3,5.6,11.5
Natural sciences managers,16,–,–,–,–,–
Postmasters and mail superintendents,24,–,–,–,–,–
"Property, real estate, and community association managers",781,48.5,84.7,8.6,3.5,12.9
Social and community service managers,424,72.5,75.9,18.3,2.1,10.3
Emergency management directors,12,–,–,–,–,–
"Personal service managers, all other",2,–,–,–,–,–
"Managers, all other","4,969",37.5,83.2,8.1,5.9,10.4
Business and financial operations occupations,"8,578",53.9,78.0,10.5,8.7,11.2
"Agents and business managers of artists, performers, and athletes",36,–,–,–,–,–
"Buyers and purchasing agents, farm products",10,–,–,–,–,–
"Wholesale and retail buyers, except farm products",178,52.7,82.8,9.7,5.8,14.9
"Purchasing agents, except wholesale, retail, and farm products",230,52.0,81.1,11.9,3.9,11.3
"Claims adjusters, appraisers, examiners, and investigators",350,60.4,71.6,19.8,4.5,15.0
Compliance officers,305,57.1,75.4,12.0,7.5,8.6
Cost estimators,121,15.0,93.7,2.9,2.0,14.1
Human resources workers,832,74.3,76.9,13.0,5.8,15.1
"Compensation, benefits, and job analysis specialists",74,76.0,84.6,11.2,2.2,9.7
Training and development specialists,115,57.1,82.1,13.2,2.7,14.1
Logisticians,147,38.1,82.6,11.8,4.4,20.6
Project management specialists,715,44.4,77.5,12.3,7.9,11.1
Management analysts,997,42.7,77.8,8.4,11.9,9.3
"Meeting, convention, and event planners",118,73.7,85.8,7.7,4.8,11.9
Fundraisers,99,74.8,85.0,3.7,8.4,7.4
Market research analysts and marketing specialists,438,58.6,82.8,6.5,8.1,9.1
"Business operations specialists, all other",308,57.3,72.6,12.4,11.3,9.7
Accountants and auditors,"1,696",59.7,77.3,9.5,11.2,10.2
Property appraisers and assessors,86,29.7,96.5,2.3,1.2,6.0
Budget analysts,60,53.2,69.6,13.9,7.6,14.9
Credit analysts,30,–,–,–,–,–
Financial and investment analysts,351,41.6,68.5,7.8,21.0,10.2
Personal financial advisors,514,34.0,78.5,7.9,10.7,8.2
Insurance underwriters,102,58.0,78.6,9.3,6.2,11.9
Financial examiners,25,–,–,–,–,–
